# tau gt_up gt_dn
7.164 -0.00091253 -0.00091253
7.173 -0.000905805 -0.000905805
7.182 -0.00089913 -0.00089913
7.191 -0.000892504 -0.000892504
7.2 -0.000885927 -0.000885927
7.209 -0.000879398 -0.000879398
7.218 -0.000872917 -0.000872917
7.227 -0.000866485 -0.000866485
7.236 -0.000860099 -0.000860099
7.245 -0.000853761 -0.000853761
7.254 -0.000847469 -0.000847469
7.263 -0.000841224 -0.000841224
7.272 -0.000835024 -0.000835024
7.281 -0.000828871 -0.000828871
7.29 -0.000822762 -0.000822762
7.299 -0.000816699 -0.000816699
7.308 -0.000810681 -0.000810681
7.317 -0.000804706 -0.000804706
7.326 -0.000798776 -0.000798776
7.335 -0.00079289 -0.00079289
7.344 -0.000787046 -0.000787046
7.353 -0.000781246 -0.000781246
7.362 -0.000775489 -0.000775489
7.371 -0.000769774 -0.000769774
7.38 -0.000764101 -0.000764101
7.389 -0.00075847 -0.00075847
7.398 -0.000752881 -0.000752881
7.407 -0.000747333 -0.000747333
7.416 -0.000741825 -0.000741825
7.425 -0.000736358 -0.000736358
7.434 -0.000730932 -0.000730932
7.443 -0.000725545 -0.000725545
7.452 -0.000720199 -0.000720199
7.461 -0.000714891 -0.000714891
7.47 -0.000709623 -0.000709623
7.479 -0.000704393 -0.000704393
7.488 -0.000699202 -0.000699202
7.497 -0.00069405 -0.00069405
7.506 -0.000688935 -0.000688935
7.515 -0.000683858 -0.000683858
7.524 -0.000678818 -0.000678818
7.533 -0.000673816 -0.000673816
7.542 -0.00066885 -0.00066885
7.551 -0.000663921 -0.000663921
7.56 -0.000659028 -0.000659028
7.569 -0.000654172 -0.000654172
7.578 -0.000649351 -0.000649351
7.587 -0.000644566 -0.000644566
7.596 -0.000639816 -0.000639816
7.605 -0.000635101 -0.000635101
7.614 -0.00063042 -0.00063042
7.623 -0.000625774 -0.000625774
7.632 -0.000621163 -0.000621163
7.641 -0.000616585 -0.000616585
7.65 -0.000612041 -0.000612041
7.659 -0.000607531 -0.000607531
7.668 -0.000603054 -0.000603054
7.677 -0.00059861 -0.00059861
7.686 -0.000594198 -0.000594198
7.695 -0.000589819 -0.000589819
7.704 -0.000585473 -0.000585473
7.713 -0.000581158 -0.000581158
7.722 -0.000576875 -0.000576875
7.731 -0.000572624 -0.000572624
7.74 -0.000568404 -0.000568404
7.749 -0.000564215 -0.000564215
7.758 -0.000560058 -0.000560058
7.767 -0.00055593 -0.00055593
7.776 -0.000551833 -0.000551833
7.785 -0.000547767 -0.000547767
7.794 -0.00054373 -0.00054373
7.803 -0.000539723 -0.000539723
7.812 -0.000535746 -0.000535746
7.821 -0.000531797 -0.000531797
7.83 -0.000527878 -0.000527878
7.839 -0.000523988 -0.000523988
7.848 -0.000520127 -0.000520127
7.857 -0.000516294 -0.000516294
7.866 -0.000512489 -0.000512489
7.875 -0.000508712 -0.000508712
7.884 -0.000504963 -0.000504963
7.893 -0.000501242 -0.000501242
7.902 -0.000497548 -0.000497548
7.911 -0.000493882 -0.000493882
7.92 -0.000490242 -0.000490242
7.929 -0.000486629 -0.000486629
7.938 -0.000483043 -0.000483043
7.947 -0.000479483 -0.000479483
7.956 -0.00047595 -0.00047595
7.965 -0.000472442 -0.000472442
7.974 -0.000468961 -0.000468961
7.983 -0.000465505 -0.000465505
7.992 -0.000462074 -0.000462074
8.001 -0.000458669 -0.000458669
8.01 -0.000455289 -0.000455289
8.019 -0.000451934 -0.000451934
8.028 -0.000448603 -0.000448603
8.037 -0.000445297 -0.000445297
8.046 -0.000442016 -0.000442016
8.055 -0.000438758 -0.000438758
8.064 -0.000435525 -0.000435525
8.073 -0.000432315 -0.000432315
8.082 -0.000429129 -0.000429129
8.091 -0.000425967 -0.000425967
8.1 -0.000422828 -0.000422828
8.109 -0.000419712 -0.000419712
8.118 -0.000416619 -0.000416619
8.127 -0.000413549 -0.000413549
8.136 -0.000410501 -0.000410501
8.145 -0.000407476 -0.000407476
8.154 -0.000404473 -0.000404473
8.163 -0.000401492 -0.000401492
8.172 -0.000398534 -0.000398534
8.181 -0.000395597 -0.000395597
8.19 -0.000392681 -0.000392681
8.199 -0.000389788 -0.000389788
8.208 -0.000386915 -0.000386915
8.217 -0.000384064 -0.000384064
8.226 -0.000381233 -0.000381233
8.235 -0.000378424 -0.000378424
8.244 -0.000375635 -0.000375635
8.253 -0.000372867 -0.000372867
8.262 -0.000370119 -0.000370119
8.271 -0.000367392 -0.000367392
8.28 -0.000364684 -0.000364684
8.289 -0.000361997 -0.000361997
8.298 -0.000359329 -0.000359329
8.307 -0.000356681 -0.000356681
8.316 -0.000354052 -0.000354052
8.325 -0.000351443 -0.000351443
8.334 -0.000348853 -0.000348853
8.343 -0.000346282 -0.000346282
8.352 -0.000343731 -0.000343731
8.361 -0.000341197 -0.000341197
8.37 -0.000338683 -0.000338683
8.379 -0.000336187 -0.000336187
8.388 -0.00033371 -0.00033371
8.397 -0.00033125 -0.00033125
8.406 -0.000328809 -0.000328809
8.415 -0.000326386 -0.000326386
8.424 -0.000323981 -0.000323981
8.433 -0.000321593 -0.000321593
8.442 -0.000319223 -0.000319223
8.451 -0.000316871 -0.000316871
8.46 -0.000314536 -0.000314536
8.469 -0.000312218 -0.000312218
8.478 -0.000309917 -0.000309917
8.487 -0.000307633 -0.000307633
8.496 -0.000305366 -0.000305366
8.505 -0.000303116 -0.000303116
8.514 -0.000300882 -0.000300882
8.523 -0.000298665 -0.000298665
8.532 -0.000296464 -0.000296464
8.541 -0.000294279 -0.000294279
8.55 -0.00029211 -0.00029211
8.559 -0.000289957 -0.000289957
8.568 -0.000287821 -0.000287821
8.577 -0.0002857 -0.0002857
8.586 -0.000283594 -0.000283594
8.595 -0.000281504 -0.000281504
8.604 -0.00027943 -0.00027943
8.613 -0.00027737 -0.00027737
8.622 -0.000275326 -0.000275326
8.631 -0.000273297 -0.000273297
8.64 -0.000271283 -0.000271283
8.649 -0.000269284 -0.000269284
8.658 -0.0002673 -0.0002673
8.667 -0.00026533 -0.00026533
8.676 -0.000263375 -0.000263375
8.685 -0.000261434 -0.000261434
8.694 -0.000259507 -0.000259507
8.703 -0.000257595 -0.000257595
8.712 -0.000255696 -0.000255696
8.721 -0.000253812 -0.000253812
8.73 -0.000251942 -0.000251942
8.739 -0.000250085 -0.000250085
8.748 -0.000248242 -0.000248242
8.757 -0.000246413 -0.000246413
8.766 -0.000244597 -0.000244597
8.775 -0.000242794 -0.000242794
8.784 -0.000241005 -0.000241005
8.793 -0.000239229 -0.000239229
8.802 -0.000237466 -0.000237466
8.811 -0.000235716 -0.000235716
8.82 -0.000233979 -0.000233979
8.829 -0.000232254 -0.000232254
8.838 -0.000230543 -0.000230543
8.847 -0.000228844 -0.000228844
8.856 -0.000227157 -0.000227157
8.865 -0.000225483 -0.000225483
8.874 -0.000223822 -0.000223822
8.883 -0.000222172 -0.000222172
8.892 -0.000220535 -0.000220535
8.901 -0.00021891 -0.00021891
8.91 -0.000217297 -0.000217297
8.919 -0.000215695 -0.000215695
8.928 -0.000214106 -0.000214106
8.937 -0.000212528 -0.000212528
8.946 -0.000210962 -0.000210962
8.955 -0.000209407 -0.000209407
8.964 -0.000207864 -0.000207864
8.973 -0.000206332 -0.000206332
8.982 -0.000204811 -0.000204811
8.991 -0.000203302 -0.000203302
9 -0.000201804 -0.000201804
9.009 -0.000200317 -0.000200317
9.018 -0.00019884 -0.00019884
9.027 -0.000197375 -0.000197375
9.036 -0.000195921 -0.000195921
9.045 -0.000194477 -0.000194477
9.054 -0.000193044 -0.000193044
9.063 -0.000191621 -0.000191621
9.072 -0.000190209 -0.000190209
9.081 -0.000188807 -0.000188807
9.09 -0.000187416 -0.000187416
9.099 -0.000186035 -0.000186035
9.108 -0.000184664 -0.000184664
9.117 -0.000183303 -0.000183303
9.126 -0.000181952 -0.000181952
9.135 -0.000180611 -0.000180611
9.144 -0.00017928 -0.00017928
9.153 -0.000177959 -0.000177959
9.162 -0.000176647 -0.000176647
9.171 -0.000175346 -0.000175346
9.18 -0.000174053 -0.000174053
9.189 -0.000172771 -0.000172771
9.198 -0.000171498 -0.000171498
9.207 -0.000170234 -0.000170234
9.216 -0.000168979 -0.000168979
9.225 -0.000167734 -0.000167734
9.234 -0.000166498 -0.000166498
9.243 -0.000165271 -0.000165271
9.252 -0.000164053 -0.000164053
9.261 -0.000162844 -0.000162844
9.27 -0.000161644 -0.000161644
9.279 -0.000160453 -0.000160453
9.288 -0.00015927 -0.00015927
9.297 -0.000158096 -0.000158096
9.306 -0.000156931 -0.000156931
9.315 -0.000155775 -0.000155775
9.324 -0.000154627 -0.000154627
9.333 -0.000153487 -0.000153487
9.342 -0.000152356 -0.000152356
9.351 -0.000151234 -0.000151234
9.36 -0.000150119 -0.000150119
9.369 -0.000149013 -0.000149013
9.378 -0.000147915 -0.000147915
9.387 -0.000146825 -0.000146825
9.396 -0.000145743 -0.000145743
9.405 -0.000144669 -0.000144669
9.414 -0.000143602 -0.000143602
9.423 -0.000142544 -0.000142544
9.432 -0.000141494 -0.000141494
9.441 -0.000140451 -0.000140451
9.45 -0.000139416 -0.000139416
9.459 -0.000138389 -0.000138389
9.468 -0.000137369 -0.000137369
9.477 -0.000136356 -0.000136356
9.486 -0.000135352 -0.000135352
9.495 -0.000134354 -0.000134354
9.504 -0.000133364 -0.000133364
9.513 -0.000132381 -0.000132381
9.522 -0.000131406 -0.000131406
9.531 -0.000130437 -0.000130437
9.54 -0.000129476 -0.000129476
9.549 -0.000128522 -0.000128522
9.558 -0.000127575 -0.000127575
9.567 -0.000126634 -0.000126634
9.576 -0.000125701 -0.000125701
9.585 -0.000124775 -0.000124775
9.594 -0.000123855 -0.000123855
9.603 -0.000122943 -0.000122943
9.612 -0.000122037 -0.000122037
9.621 -0.000121137 -0.000121137
9.63 -0.000120245 -0.000120245
9.639 -0.000119358 -0.000119358
9.648 -0.000118479 -0.000118479
9.657 -0.000117606 -0.000117606
9.666 -0.000116739 -0.000116739
9.675 -0.000115879 -0.000115879
9.684 -0.000115025 -0.000115025
9.693 -0.000114177 -0.000114177
9.702 -0.000113336 -0.000113336
9.711 -0.000112501 -0.000112501
9.72 -0.000111671 -0.000111671
9.729 -0.000110849 -0.000110849
9.738 -0.000110032 -0.000110032
9.747 -0.000109221 -0.000109221
9.756 -0.000108416 -0.000108416
9.765 -0.000107617 -0.000107617
9.774 -0.000106824 -0.000106824
9.783 -0.000106037 -0.000106037
9.792 -0.000105255 -0.000105255
9.801 -0.00010448 -0.00010448
9.81 -0.00010371 -0.00010371
9.819 -0.000102945 -0.000102945
9.828 -0.000102187 -0.000102187
9.837 -0.000101434 -0.000101434
9.846 -0.000100686 -0.000100686
9.855 -9.99441e-05 -9.99441e-05
9.864 -9.92076e-05 -9.92076e-05
9.873 -9.84765e-05 -9.84765e-05
9.882 -9.77507e-05 -9.77507e-05
9.891 -9.70304e-05 -9.70304e-05
9.9 -9.63153e-05 -9.63153e-05
9.909 -9.56055e-05 -9.56055e-05
9.918 -9.4901e-05 -9.4901e-05
9.927 -9.42016e-05 -9.42016e-05
9.936 -9.35074e-05 -9.35074e-05
9.945 -9.28183e-05 -9.28183e-05
9.954 -9.21343e-05 -9.21343e-05
9.963 -9.14553e-05 -9.14553e-05
9.972 -9.07813e-05 -9.07813e-05
9.981 -9.01123e-05 -9.01123e-05
9.99 -8.94483e-05 -8.94483e-05
9.999 -8.87891e-05 -8.87891e-05
10.008 -8.81348e-05 -8.81348e-05
10.017 -8.74853e-05 -8.74853e-05
10.026 -8.68406e-05 -8.68406e-05
10.035 -8.62006e-05 -8.62006e-05
10.044 -8.55653e-05 -8.55653e-05
10.053 -8.49348e-05 -8.49348e-05
10.062 -8.43089e-05 -8.43089e-05
10.071 -8.36876e-05 -8.36876e-05
10.08 -8.30708e-05 -8.30708e-05
10.089 -8.24586e-05 -8.24586e-05
10.098 -8.1851e-05 -8.1851e-05
10.107 -8.12478e-05 -8.12478e-05
10.116 -8.0649e-05 -8.0649e-05
10.125 -8.00547e-05 -8.00547e-05
10.134 -7.94647e-05 -7.94647e-05
10.143 -7.88791e-05 -7.88791e-05
10.152 -7.82978e-05 -7.82978e-05
10.161 -7.77208e-05 -7.77208e-05
10.17 -7.71481e-05 -7.71481e-05
10.179 -7.65795e-05 -7.65795e-05
10.188 -7.60152e-05 -7.60152e-05
10.197 -7.5455e-05 -7.5455e-05
10.206 -7.4899e-05 -7.4899e-05
10.215 -7.4347e-05 -7.4347e-05
10.224 -7.37991e-05 -7.37991e-05
10.233 -7.32552e-05 -7.32552e-05
10.242 -7.27154e-05 -7.27154e-05
10.251 -7.21795e-05 -7.21795e-05
10.26 -7.16476e-05 -7.16476e-05
10.269 -7.11196e-05 -7.11196e-05
10.278 -7.05955e-05 -7.05955e-05
10.287 -7.00753e-05 -7.00753e-05
10.296 -6.95588e-05 -6.95588e-05
10.305 -6.90462e-05 -6.90462e-05
10.314 -6.85374e-05 -6.85374e-05
10.323 -6.80323e-05 -6.80323e-05
10.332 -6.7531e-05 -6.7531e-05
10.341 -6.70333e-05 -6.70333e-05
10.35 -6.65393e-05 -6.65393e-05
10.359 -6.6049e-05 -6.6049e-05
10.368 -6.55622e-05 -6.55622e-05
10.377 -6.50791e-05 -6.50791e-05
10.386 -6.45995e-05 -6.45995e-05
10.395 -6.41234e-05 -6.41234e-05
10.404 -6.36509e-05 -6.36509e-05
10.413 -6.31818e-05 -6.31818e-05
10.422 -6.27162e-05 -6.27162e-05
10.431 -6.2254e-05 -6.2254e-05
10.44 -6.17952e-05 -6.17952e-05
10.449 -6.13398e-05 -6.13398e-05
10.458 -6.08878e-05 -6.08878e-05
10.467 -6.04391e-05 -6.04391e-05
10.476 -5.99937e-05 -5.99937e-05
10.485 -5.95516e-05 -5.95516e-05
10.494 -5.91127e-05 -5.91127e-05
10.503 -5.86771e-05 -5.86771e-05
10.512 -5.82447e-05 -5.82447e-05
10.521 -5.78154e-05 -5.78154e-05
10.53 -5.73894e-05 -5.73894e-05
10.539 -5.69664e-05 -5.69664e-05
10.548 -5.65466e-05 -5.65466e-05
10.557 -5.61299e-05 -5.61299e-05
10.566 -5.57163e-05 -5.57163e-05
10.575 -5.53057e-05 -5.53057e-05
10.584 -5.48981e-05 -5.48981e-05
10.593 -5.44935e-05 -5.44935e-05
10.602 -5.4092e-05 -5.4092e-05
10.611 -5.36933e-05 -5.36933e-05
10.62 -5.32976e-05 -5.32976e-05
10.629 -5.29049e-05 -5.29049e-05
10.638 -5.2515e-05 -5.2515e-05
10.647 -5.2128e-05 -5.2128e-05
10.656 -5.17438e-05 -5.17438e-05
10.665 -5.13625e-05 -5.13625e-05
10.674 -5.0984e-05 -5.0984e-05
10.683 -5.06083e-05 -5.06083e-05
10.692 -5.02353e-05 -5.02353e-05
10.701 -4.98651e-05 -4.98651e-05
10.71 -4.94977e-05 -4.94977e-05
10.719 -4.91329e-05 -4.91329e-05
10.728 -4.87708e-05 -4.87708e-05
10.737 -4.84114e-05 -4.84114e-05
10.746 -4.80546e-05 -4.80546e-05
10.755 -4.77005e-05 -4.77005e-05
10.764 -4.7349e-05 -4.7349e-05
10.773 -4.7e-05 -4.7e-05
10.782 -4.66537e-05 -4.66537e-05
10.791 -4.63099e-05 -4.63099e-05
10.8 -4.59686e-05 -4.59686e-05
10.809 -4.56298e-05 -4.56298e-05
10.818 -4.52936e-05 -4.52936e-05
10.827 -4.49598e-05 -4.49598e-05
10.836 -4.46285e-05 -4.46285e-05
10.845 -4.42996e-05 -4.42996e-05
10.854 -4.39731e-05 -4.39731e-05
10.863 -4.36491e-05 -4.36491e-05
10.872 -4.33274e-05 -4.33274e-05
10.881 -4.30081e-05 -4.30081e-05
10.89 -4.26911e-05 -4.26911e-05
10.899 -4.23765e-05 -4.23765e-05
10.908 -4.20642e-05 -4.20642e-05
10.917 -4.17543e-05 -4.17543e-05
10.926 -4.14466e-05 -4.14466e-05
10.935 -4.11411e-05 -4.11411e-05
10.944 -4.08379e-05 -4.08379e-05
10.953 -4.0537e-05 -4.0537e-05
10.962 -4.02382e-05 -4.02382e-05
10.971 -3.99417e-05 -3.99417e-05
10.98 -3.96474e-05 -3.96474e-05
10.989 -3.93552e-05 -3.93552e-05
10.998 -3.90652e-05 -3.90652e-05
11.007 -3.87773e-05 -3.87773e-05
11.016 -3.84915e-05 -3.84915e-05
11.025 -3.82079e-05 -3.82079e-05
11.034 -3.79263e-05 -3.79263e-05
11.043 -3.76468e-05 -3.76468e-05
11.052 -3.73694e-05 -3.73694e-05
11.061 -3.7094e-05 -3.7094e-05
11.07 -3.68206e-05 -3.68206e-05
11.079 -3.65493e-05 -3.65493e-05
11.088 -3.62799e-05 -3.62799e-05
11.097 -3.60126e-05 -3.60126e-05
11.106 -3.57472e-05 -3.57472e-05
11.115 -3.54837e-05 -3.54837e-05
11.124 -3.52222e-05 -3.52222e-05
11.133 -3.49627e-05 -3.49627e-05
11.142 -3.4705e-05 -3.4705e-05
11.151 -3.44493e-05 -3.44493e-05
11.16 -3.41954e-05 -3.41954e-05
11.169 -3.39434e-05 -3.39434e-05
11.178 -3.36932e-05 -3.36932e-05
11.187 -3.34449e-05 -3.34449e-05
11.196 -3.31985e-05 -3.31985e-05
11.205 -3.29538e-05 -3.29538e-05
11.214 -3.2711e-05 -3.2711e-05
11.223 -3.24699e-05 -3.24699e-05
11.232 -3.22306e-05 -3.22306e-05
11.241 -3.19931e-05 -3.19931e-05
11.25 -3.17573e-05 -3.17573e-05
11.259 -3.15233e-05 -3.15233e-05
11.268 -3.1291e-05 -3.1291e-05
11.277 -3.10604e-05 -3.10604e-05
11.286 -3.08315e-05 -3.08315e-05
11.295 -3.06043e-05 -3.06043e-05
11.304 -3.03788e-05 -3.03788e-05
11.313 -3.01549e-05 -3.01549e-05
11.322 -2.99327e-05 -2.99327e-05
11.331 -2.97121e-05 -2.97121e-05
11.34 -2.94931e-05 -2.94931e-05
11.349 -2.92758e-05 -2.92758e-05
11.358 -2.906e-05 -2.906e-05
11.367 -2.88459e-05 -2.88459e-05
11.376 -2.86333e-05 -2.86333e-05
11.385 -2.84223e-05 -2.84223e-05
11.394 -2.82128e-05 -2.82128e-05
11.403 -2.80049e-05 -2.80049e-05
11.412 -2.77985e-05 -2.77985e-05
11.421 -2.75937e-05 -2.75937e-05
11.43 -2.73903e-05 -2.73903e-05
11.439 -2.71885e-05 -2.71885e-05
11.448 -2.69881e-05 -2.69881e-05
11.457 -2.67892e-05 -2.67892e-05
11.466 -2.65918e-05 -2.65918e-05
11.475 -2.63958e-05 -2.63958e-05
11.484 -2.62013e-05 -2.62013e-05
11.493 -2.60082e-05 -2.60082e-05
11.502 -2.58166e-05 -2.58166e-05
11.511 -2.56263e-05 -2.56263e-05
11.52 -2.54375e-05 -2.54375e-05
11.529 -2.525e-05 -2.525e-05
11.538 -2.50639e-05 -2.50639e-05
11.547 -2.48792e-05 -2.48792e-05
11.556 -2.46959e-05 -2.46959e-05
11.565 -2.45139e-05 -2.45139e-05
11.574 -2.43332e-05 -2.43332e-05
11.583 -2.41539e-05 -2.41539e-05
11.592 -2.39759e-05 -2.39759e-05
11.601 -2.37992e-05 -2.37992e-05
11.61 -2.36238e-05 -2.36238e-05
11.619 -2.34497e-05 -2.34497e-05
11.628 -2.32769e-05 -2.32769e-05
11.637 -2.31054e-05 -2.31054e-05
11.646 -2.29351e-05 -2.29351e-05
11.655 -2.27661e-05 -2.27661e-05
11.664 -2.25983e-05 -2.25983e-05
11.673 -2.24318e-05 -2.24318e-05
11.682 -2.22665e-05 -2.22665e-05
11.691 -2.21024e-05 -2.21024e-05
11.7 -2.19395e-05 -2.19395e-05
11.709 -2.17778e-05 -2.17778e-05
11.718 -2.16173e-05 -2.16173e-05
11.727 -2.1458e-05 -2.1458e-05
11.736 -2.12999e-05 -2.12999e-05
11.745 -2.11429e-05 -2.11429e-05
11.754 -2.09871e-05 -2.09871e-05
11.763 -2.08325e-05 -2.08325e-05
11.772 -2.06789e-05 -2.06789e-05
11.781 -2.05266e-05 -2.05266e-05
11.79 -2.03753e-05 -2.03753e-05
11.799 -2.02251e-05 -2.02251e-05
11.808 -2.00761e-05 -2.00761e-05
11.817 -1.99281e-05 -1.99281e-05
11.826 -1.97813e-05 -1.97813e-05
11.835 -1.96355e-05 -1.96355e-05
11.844 -1.94908e-05 -1.94908e-05
11.853 -1.93472e-05 -1.93472e-05
11.862 -1.92046e-05 -1.92046e-05
11.871 -1.90631e-05 -1.90631e-05
11.88 -1.89226e-05 -1.89226e-05
11.889 -1.87831e-05 -1.87831e-05
11.898 -1.86447e-05 -1.86447e-05
11.907 -1.85073e-05 -1.85073e-05
11.916 -1.83709e-05 -1.83709e-05
11.925 -1.82355e-05 -1.82355e-05
11.934 -1.81012e-05 -1.81012e-05
11.943 -1.79678e-05 -1.79678e-05
11.952 -1.78353e-05 -1.78353e-05
11.961 -1.77039e-05 -1.77039e-05
11.97 -1.75734e-05 -1.75734e-05
11.979 -1.74439e-05 -1.74439e-05
11.988 -1.73154e-05 -1.73154e-05
11.997 -1.71878e-05 -1.71878e-05
12.006 -1.70611e-05 -1.70611e-05
12.015 -1.69354e-05 -1.69354e-05
12.024 -1.68106e-05 -1.68106e-05
12.033 -1.66867e-05 -1.66867e-05
12.042 -1.65637e-05 -1.65637e-05
12.051 -1.64417e-05 -1.64417e-05
12.06 -1.63205e-05 -1.63205e-05
12.069 -1.62002e-05 -1.62002e-05
12.078 -1.60808e-05 -1.60808e-05
12.087 -1.59623e-05 -1.59623e-05
12.096 -1.58447e-05 -1.58447e-05
12.105 -1.57279e-05 -1.57279e-05
12.114 -1.5612e-05 -1.5612e-05
12.123 -1.5497e-05 -1.5497e-05
12.132 -1.53828e-05 -1.53828e-05
12.141 -1.52694e-05 -1.52694e-05
12.15 -1.51569e-05 -1.51569e-05
12.159 -1.50452e-05 -1.50452e-05
12.168 -1.49343e-05 -1.49343e-05
12.177 -1.48243e-05 -1.48243e-05
12.186 -1.4715e-05 -1.4715e-05
12.195 -1.46066e-05 -1.46066e-05
12.204 -1.44989e-05 -1.44989e-05
12.213 -1.43921e-05 -1.43921e-05
12.222 -1.4286e-05 -1.4286e-05
12.231 -1.41807e-05 -1.41807e-05
12.24 -1.40762e-05 -1.40762e-05
12.249 -1.39725e-05 -1.39725e-05
12.258 -1.38695e-05 -1.38695e-05
12.267 -1.37673e-05 -1.37673e-05
12.276 -1.36659e-05 -1.36659e-05
12.285 -1.35652e-05 -1.35652e-05
12.294 -1.34652e-05 -1.34652e-05
12.303 -1.3366e-05 -1.3366e-05
12.312 -1.32675e-05 -1.32675e-05
12.321 -1.31697e-05 -1.31697e-05
12.33 -1.30726e-05 -1.30726e-05
12.339 -1.29763e-05 -1.29763e-05
12.348 -1.28807e-05 -1.28807e-05
12.357 -1.27857e-05 -1.27857e-05
12.366 -1.26915e-05 -1.26915e-05
12.375 -1.2598e-05 -1.2598e-05
12.384 -1.25052e-05 -1.25052e-05
12.393 -1.2413e-05 -1.2413e-05
12.402 -1.23215e-05 -1.23215e-05
12.411 -1.22307e-05 -1.22307e-05
12.42 -1.21406e-05 -1.21406e-05
12.429 -1.20511e-05 -1.20511e-05
12.438 -1.19623e-05 -1.19623e-05
12.447 -1.18742e-05 -1.18742e-05
12.456 -1.17867e-05 -1.17867e-05
12.465 -1.16998e-05 -1.16998e-05
12.474 -1.16136e-05 -1.16136e-05
12.483 -1.1528e-05 -1.1528e-05
12.492 -1.1443e-05 -1.1443e-05
12.501 -1.13587e-05 -1.13587e-05
12.51 -1.1275e-05 -1.1275e-05
12.519 -1.11919e-05 -1.11919e-05
12.528 -1.11094e-05 -1.11094e-05
12.537 -1.10276e-05 -1.10276e-05
12.546 -1.09463e-05 -1.09463e-05
12.555 -1.08656e-05 -1.08656e-05
12.564 -1.07856e-05 -1.07856e-05
12.573 -1.07061e-05 -1.07061e-05
12.582 -1.06272e-05 -1.06272e-05
12.591 -1.05489e-05 -1.05489e-05
12.6 -1.04711e-05 -1.04711e-05
12.609 -1.03939e-05 -1.03939e-05
12.618 -1.03174e-05 -1.03174e-05
12.627 -1.02413e-05 -1.02413e-05
12.636 -1.01658e-05 -1.01658e-05
12.645 -1.00909e-05 -1.00909e-05
12.654 -1.00166e-05 -1.00166e-05
12.663 -9.94275e-06 -9.94275e-06
12.672 -9.86948e-06 -9.86948e-06
12.681 -9.79675e-06 -9.79675e-06
12.69 -9.72455e-06 -9.72455e-06
12.699 -9.65289e-06 -9.65289e-06
12.708 -9.58175e-06 -9.58175e-06
12.717 -9.51114e-06 -9.51114e-06
12.726 -9.44105e-06 -9.44105e-06
12.735 -9.37147e-06 -9.37147e-06
12.744 -9.30241e-06 -9.30241e-06
12.753 -9.23386e-06 -9.23386e-06
12.762 -9.16581e-06 -9.16581e-06
12.771 -9.09826e-06 -9.09826e-06
12.78 -9.03121e-06 -9.03121e-06
12.789 -8.96466e-06 -8.96466e-06
12.798 -8.8986e-06 -8.8986e-06
12.807 -8.83302e-06 -8.83302e-06
12.816 -8.76792e-06 -8.76792e-06
12.825 -8.70331e-06 -8.70331e-06
12.834 -8.63917e-06 -8.63917e-06
12.843 -8.57551e-06 -8.57551e-06
12.852 -8.51231e-06 -8.51231e-06
12.861 -8.44958e-06 -8.44958e-06
12.87 -8.38731e-06 -8.38731e-06
12.879 -8.3255e-06 -8.3255e-06
12.888 -8.26415e-06 -8.26415e-06
12.897 -8.20325e-06 -8.20325e-06
12.906 -8.14279e-06 -8.14279e-06
12.915 -8.08278e-06 -8.08278e-06
12.924 -8.02322e-06 -8.02322e-06
12.933 -7.96409e-06 -7.96409e-06
12.942 -7.9054e-06 -7.9054e-06
12.951 -7.84714e-06 -7.84714e-06
12.96 -7.78932e-06 -7.78932e-06
12.969 -7.73191e-06 -7.73191e-06
12.978 -7.67493e-06 -7.67493e-06
12.987 -7.61837e-06 -7.61837e-06
12.996 -7.56223e-06 -7.56223e-06
13.005 -7.5065e-06 -7.5065e-06
13.014 -7.45118e-06 -7.45118e-06
13.023 -7.39627e-06 -7.39627e-06
13.032 -7.34177e-06 -7.34177e-06
13.041 -7.28766e-06 -7.28766e-06
13.05 -7.23396e-06 -7.23396e-06
13.059 -7.18065e-06 -7.18065e-06
13.068 -7.12773e-06 -7.12773e-06
13.077 -7.0752e-06 -7.0752e-06
13.086 -7.02306e-06 -7.02306e-06
13.095 -6.97131e-06 -6.97131e-06
13.104 -6.91993e-06 -6.91993e-06
13.113 -6.86894e-06 -6.86894e-06
13.122 -6.81832e-06 -6.81832e-06
13.131 -6.76807e-06 -6.76807e-06
13.14 -6.71819e-06 -6.71819e-06
13.149 -6.66868e-06 -6.66868e-06
13.158 -6.61954e-06 -6.61954e-06
13.167 -6.57076e-06 -6.57076e-06
13.176 -6.52234e-06 -6.52234e-06
13.185 -6.47427e-06 -6.47427e-06
13.194 -6.42656e-06 -6.42656e-06
13.203 -6.3792e-06 -6.3792e-06
13.212 -6.33219e-06 -6.33219e-06
13.221 -6.28552e-06 -6.28552e-06
13.23 -6.2392e-06 -6.2392e-06
13.239 -6.19322e-06 -6.19322e-06
13.248 -6.14758e-06 -6.14758e-06
13.257 -6.10228e-06 -6.10228e-06
13.266 -6.05731e-06 -6.05731e-06
13.275 -6.01267e-06 -6.01267e-06
13.284 -5.96836e-06 -5.96836e-06
13.293 -5.92438e-06 -5.92438e-06
13.302 -5.88072e-06 -5.88072e-06
13.311 -5.83738e-06 -5.83738e-06
13.32 -5.79436e-06 -5.79436e-06
13.329 -5.75166e-06 -5.75166e-06
13.338 -5.70928e-06 -5.70928e-06
13.347 -5.6672e-06 -5.6672e-06
13.356 -5.62544e-06 -5.62544e-06
13.365 -5.58398e-06 -5.58398e-06
