# tau gt_up gt_dn
1.755 -0.0780616 -0.0780616
1.764 -0.0774793 -0.0774793
1.773 -0.0769015 -0.0769015
1.782 -0.0763282 -0.0763282
1.791 -0.0757594 -0.0757594
1.8 -0.0751949 -0.0751949
1.809 -0.0746348 -0.0746348
1.818 -0.074079 -0.074079
1.827 -0.0735274 -0.0735274
1.836 -0.0729802 -0.0729802
1.845 -0.0724371 -0.0724371
1.854 -0.0718982 -0.0718982
1.863 -0.0713635 -0.0713635
1.872 -0.0708328 -0.0708328
1.881 -0.0703062 -0.0703062
1.89 -0.0697837 -0.0697837
1.899 -0.0692651 -0.0692651
1.908 -0.0687505 -0.0687505
1.917 -0.0682398 -0.0682398
1.926 -0.067733 -0.067733
1.935 -0.0672301 -0.0672301
1.944 -0.066731 -0.066731
1.953 -0.0662357 -0.0662357
1.962 -0.0657442 -0.0657442
1.971 -0.0652564 -0.0652564
1.98 -0.0647723 -0.0647723
1.989 -0.0642918 -0.0642918
1.998 -0.0638151 -0.0638151
2.007 -0.0633419 -0.0633419
2.016 -0.0628723 -0.0628723
2.025 -0.0624062 -0.0624062
2.034 -0.0619437 -0.0619437
2.043 -0.0614847 -0.0614847
2.052 -0.0610291 -0.0610291
2.061 -0.060577 -0.060577
2.07 -0.0601283 -0.0601283
2.079 -0.0596829 -0.0596829
2.088 -0.0592409 -0.0592409
2.097 -0.0588023 -0.0588023
2.106 -0.0583669 -0.0583669
2.115 -0.0579348 -0.0579348
2.124 -0.057506 -0.057506
2.133 -0.0570804 -0.0570804
2.142 -0.056658 -0.056658
2.151 -0.0562387 -0.0562387
2.16 -0.0558226 -0.0558226
2.169 -0.0554096 -0.0554096
2.178 -0.0549997 -0.0549997
2.187 -0.0545929 -0.0545929
2.196 -0.0541891 -0.0541891
2.205 -0.0537884 -0.0537884
2.214 -0.0533906 -0.0533906
2.223 -0.0529959 -0.0529959
2.232 -0.052604 -0.052604
2.241 -0.0522151 -0.0522151
2.25 -0.0518292 -0.0518292
2.259 -0.051446 -0.051446
2.268 -0.0510658 -0.0510658
2.277 -0.0506884 -0.0506884
2.286 -0.0503138 -0.0503138
2.295 -0.049942 -0.049942
2.304 -0.049573 -0.049573
2.313 -0.0492067 -0.0492067
2.322 -0.0488432 -0.0488432
2.331 -0.0484823 -0.0484823
2.34 -0.0481242 -0.0481242
2.349 -0.0477687 -0.0477687
2.358 -0.0474159 -0.0474159
2.367 -0.0470657 -0.0470657
2.376 -0.0467181 -0.0467181
2.385 -0.0463731 -0.0463731
2.394 -0.0460306 -0.0460306
2.403 -0.0456907 -0.0456907
2.412 -0.0453533 -0.0453533
2.421 -0.0450185 -0.0450185
2.43 -0.0446861 -0.0446861
2.439 -0.0443562 -0.0443562
2.448 -0.0440287 -0.0440287
2.457 -0.0437037 -0.0437037
2.466 -0.0433811 -0.0433811
2.475 -0.0430609 -0.0430609
2.484 -0.042743 -0.042743
2.493 -0.0424275 -0.0424275
2.502 -0.0421144 -0.0421144
2.511 -0.0418036 -0.0418036
2.52 -0.0414951 -0.0414951
2.529 -0.0411888 -0.0411888
2.538 -0.0408849 -0.0408849
2.547 -0.0405832 -0.0405832
2.556 -0.0402837 -0.0402837
2.565 -0.0399865 -0.0399865
2.574 -0.0396914 -0.0396914
2.583 -0.0393986 -0.0393986
2.592 -0.0391079 -0.0391079
2.601 -0.0388194 -0.0388194
2.61 -0.038533 -0.038533
2.619 -0.0382487 -0.0382487
2.628 -0.0379665 -0.0379665
2.637 -0.0376864 -0.0376864
2.646 -0.0374084 -0.0374084
2.655 -0.0371325 -0.0371325
2.664 -0.0368586 -0.0368586
2.673 -0.0365867 -0.0365867
2.682 -0.0363168 -0.0363168
2.691 -0.0360489 -0.0360489
2.7 -0.0357831 -0.0357831
2.709 -0.0355191 -0.0355191
2.718 -0.0352572 -0.0352572
2.727 -0.0349971 -0.0349971
2.736 -0.034739 -0.034739
2.745 -0.0344828 -0.0344828
2.754 -0.0342285 -0.0342285
2.763 -0.0339761 -0.0339761
2.772 -0.0337255 -0.0337255
2.781 -0.0334768 -0.0334768
2.79 -0.0332299 -0.0332299
2.799 -0.0329849 -0.0329849
2.808 -0.0327417 -0.0327417
2.817 -0.0325002 -0.0325002
2.826 -0.0322606 -0.0322606
2.835 -0.0320227 -0.0320227
2.844 -0.0317866 -0.0317866
2.853 -0.0315522 -0.0315522
2.862 -0.0313195 -0.0313195
2.871 -0.0310886 -0.0310886
2.88 -0.0308594 -0.0308594
2.889 -0.0306318 -0.0306318
2.898 -0.030406 -0.030406
2.907 -0.0301818 -0.0301818
2.916 -0.0299593 -0.0299593
2.925 -0.0297384 -0.0297384
2.934 -0.0295192 -0.0295192
2.943 -0.0293015 -0.0293015
2.952 -0.0290855 -0.0290855
2.961 -0.0288711 -0.0288711
2.97 -0.0286582 -0.0286582
2.979 -0.0284469 -0.0284469
2.988 -0.0282372 -0.0282372
2.997 -0.028029 -0.028029
3.006 -0.0278224 -0.0278224
3.015 -0.0276173 -0.0276173
3.024 -0.0274137 -0.0274137
3.033 -0.0272116 -0.0272116
3.042 -0.027011 -0.027011
3.051 -0.0268119 -0.0268119
3.06 -0.0266143 -0.0266143
3.069 -0.0264181 -0.0264181
3.078 -0.0262233 -0.0262233
3.087 -0.02603 -0.02603
3.096 -0.0258381 -0.0258381
3.105 -0.0256477 -0.0256477
3.114 -0.0254586 -0.0254586
3.123 -0.0252709 -0.0252709
3.132 -0.0250847 -0.0250847
3.141 -0.0248998 -0.0248998
3.15 -0.0247162 -0.0247162
3.159 -0.024534 -0.024534
3.168 -0.0243532 -0.0243532
3.177 -0.0241737 -0.0241737
3.186 -0.0239955 -0.0239955
3.195 -0.0238186 -0.0238186
3.204 -0.0236431 -0.0236431
3.213 -0.0234688 -0.0234688
3.222 -0.0232958 -0.0232958
3.231 -0.0231241 -0.0231241
3.24 -0.0229536 -0.0229536
3.249 -0.0227845 -0.0227845
3.258 -0.0226165 -0.0226165
3.267 -0.0224498 -0.0224498
3.276 -0.0222844 -0.0222844
3.285 -0.0221201 -0.0221201
3.294 -0.0219571 -0.0219571
3.303 -0.0217952 -0.0217952
3.312 -0.0216346 -0.0216346
3.321 -0.0214751 -0.0214751
3.33 -0.0213168 -0.0213168
3.339 -0.0211597 -0.0211597
3.348 -0.0210038 -0.0210038
3.357 -0.020849 -0.020849
3.366 -0.0206953 -0.0206953
3.375 -0.0205428 -0.0205428
3.384 -0.0203914 -0.0203914
3.393 -0.0202411 -0.0202411
3.402 -0.0200919 -0.0200919
3.411 -0.0199438 -0.0199438
3.42 -0.0197968 -0.0197968
3.429 -0.0196509 -0.0196509
3.438 -0.0195061 -0.0195061
3.447 -0.0193623 -0.0193623
3.456 -0.0192196 -0.0192196
3.465 -0.019078 -0.019078
3.474 -0.0189374 -0.0189374
3.483 -0.0187978 -0.0187978
3.492 -0.0186592 -0.0186592
3.501 -0.0185217 -0.0185217
3.51 -0.0183852 -0.0183852
3.519 -0.0182497 -0.0182497
3.528 -0.0181152 -0.0181152
3.537 -0.0179817 -0.0179817
3.546 -0.0178492 -0.0178492
3.555 -0.0177176 -0.0177176
3.564 -0.0175871 -0.0175871
3.573 -0.0174574 -0.0174574
3.582 -0.0173288 -0.0173288
3.591 -0.0172011 -0.0172011
3.6 -0.0170743 -0.0170743
3.609 -0.0169485 -0.0169485
3.618 -0.0168236 -0.0168236
3.627 -0.0166996 -0.0166996
3.636 -0.0165765 -0.0165765
3.645 -0.0164543 -0.0164543
3.654 -0.0163331 -0.0163331
3.663 -0.0162127 -0.0162127
3.672 -0.0160932 -0.0160932
3.681 -0.0159746 -0.0159746
3.69 -0.0158569 -0.0158569
3.699 -0.01574 -0.01574
3.708 -0.015624 -0.015624
3.717 -0.0155089 -0.0155089
3.726 -0.0153946 -0.0153946
3.735 -0.0152811 -0.0152811
3.744 -0.0151685 -0.0151685
