0 -0.500189 -0.50172
0.01 -0.482004 -0.482942
0.02 -0.465278 -0.465881
0.03 -0.449847 -0.450292
0.04 -0.435569 -0.435967
0.05 -0.422319 -0.422738
0.06 -0.409991 -0.410463
0.07 -0.398488 -0.399024
0.08 -0.387728 -0.388325
0.09 -0.377641 -0.378284
0.1 -0.368161 -0.368834
0.11 -0.359235 -0.359917
0.12 -0.350814 -0.351488
0.13 -0.342855 -0.343504
0.14 -0.335321 -0.33593
0.15 -0.328178 -0.328738
0.16 -0.321396 -0.3219
0.17 -0.314949 -0.315393
0.18 -0.308813 -0.309196
0.19 -0.302967 -0.303291
0.2 -0.297392 -0.297659
0.21 -0.292068 -0.292284
0.22 -0.286981 -0.287153
0.23 -0.282116 -0.282249
0.24 -0.277458 -0.277561
0.25 -0.272994 -0.273075
0.26 -0.268714 -0.268779
0.27 -0.264605 -0.264663
0.28 -0.260658 -0.260714
0.29 -0.256864 -0.256924
0.3 -0.253211 -0.253281
0.31 -0.249694 -0.249777
0.32 -0.246303 -0.246402
0.33 -0.24303 -0.243149
0.34 -0.23987 -0.24001
0.35 -0.236815 -0.236977
0.36 -0.23386 -0.234044
0.37 -0.230998 -0.231204
0.38 -0.228224 -0.228451
0.39 -0.225533 -0.225779
0.4 -0.222921 -0.223185
0.41 -0.220382 -0.220662
0.42 -0.217914 -0.218208
0.43 -0.215512 -0.215817
0.44 -0.213173 -0.213486
0.45 -0.210893 -0.211213
0.46 -0.20867 -0.208993
0.47 -0.2065 -0.206825
0.48 -0.204382 -0.204706
0.49 -0.202313 -0.202635
0.5 -0.20029 -0.200608
0.51 -0.198312 -0.198624
0.52 -0.196377 -0.196682
0.53 -0.194483 -0.194779
0.54 -0.192629 -0.192916
0.55 -0.190813 -0.191091
0.56 -0.189034 -0.189302
0.57 -0.187291 -0.187549
0.58 -0.185582 -0.18583
0.59 -0.183907 -0.184145
0.6 -0.182264 -0.182493
0.61 -0.180652 -0.180874
0.62 -0.179072 -0.179285
0.63 -0.177521 -0.177728
0.64 -0.175999 -0.176201
0.65 -0.174505 -0.174703
0.66 -0.173039 -0.173234
0.67 -0.1716 -0.171793
0.68 -0.170188 -0.17038
0.69 -0.1688 -0.168993
0.7 -0.167438 -0.167633
0.71 -0.1661 -0.166298
0.72 -0.164786 -0.164988
0.73 -0.163495 -0.163702
0.74 -0.162227 -0.16244
0.75 -0.160981 -0.161201
0.76 -0.159756 -0.159984
0.77 -0.158552 -0.158788
0.78 -0.157369 -0.157614
0.79 -0.156206 -0.15646
0.8 -0.155062 -0.155326
0.81 -0.153937 -0.15421
0.82 -0.152831 -0.153114
0.83 -0.151743 -0.152035
0.84 -0.150672 -0.150974
0.85 -0.149619 -0.149929
0.86 -0.148582 -0.148901
0.87 -0.147561 -0.147888
0.88 -0.146556 -0.146891
0.89 -0.145567 -0.145908
0.9 -0.144592 -0.14494
0.91 -0.143633 -0.143985
0.92 -0.142687 -0.143044
0.93 -0.141756 -0.142116
0.94 -0.140838 -0.1412
0.95 -0.139933 -0.140297
0.96 -0.139041 -0.139406
0.97 -0.138163 -0.138526
0.98 -0.137296 -0.137657
0.99 -0.136441 -0.1368
1 -0.135599 -0.135953
1.01 -0.134768 -0.135117
1.02 -0.133948 -0.134291
1.03 -0.13314 -0.133475
1.04 -0.132342 -0.132669
1.05 -0.131555 -0.131873
1.06 -0.130779 -0.131087
1.07 -0.130013 -0.13031
1.08 -0.129257 -0.129543
1.09 -0.128511 -0.128785
1.1 -0.127774 -0.128036
1.11 -0.127048 -0.127296
1.12 -0.12633 -0.126565
1.13 -0.125623 -0.125843
1.14 -0.124924 -0.12513
1.15 -0.124234 -0.124426
1.16 -0.123553 -0.123731
1.17 -0.122881 -0.123044
1.18 -0.122218 -0.122366
1.19 -0.121563 -0.121697
1.2 -0.120916 -0.121036
1.21 -0.120278 -0.120384
1.22 -0.119648 -0.11974
1.23 -0.119026 -0.119105
1.24 -0.118411 -0.118478
1.25 -0.117805 -0.117859
1.26 -0.117206 -0.117249
1.27 -0.116615 -0.116646
1.28 -0.116031 -0.116052
1.29 -0.115454 -0.115466
1.3 -0.114884 -0.114888
1.31 -0.114322 -0.114317
1.32 -0.113766 -0.113754
1.33 -0.113218 -0.1132
1.34 -0.112676 -0.112652
1.35 -0.112141 -0.112112
1.36 -0.111612 -0.11158
1.37 -0.111089 -0.111055
1.38 -0.110573 -0.110537
1.39 -0.110063 -0.110026
1.4 -0.109559 -0.109521
1.41 -0.109061 -0.109024
1.42 -0.108569 -0.108534
1.43 -0.108082 -0.108049
1.44 -0.107601 -0.107572
1.45 -0.107126 -0.1071
1.46 -0.106656 -0.106635
1.47 -0.106191 -0.106176
1.48 -0.105732 -0.105722
1.49 -0.105277 -0.105275
1.5 -0.104828 -0.104832
1.51 -0.104384 -0.104396
1.52 -0.103944 -0.103964
1.53 -0.103509 -0.103538
1.54 -0.103079 -0.103117
1.55 -0.102653 -0.1027
1.56 -0.102232 -0.102288
1.57 -0.101815 -0.101881
1.58 -0.101402 -0.101479
1.59 -0.100994 -0.10108
1.6 -0.10059 -0.100686
1.61 -0.10019 -0.100296
1.62 -0.0997942 -0.0999103
1.63 -0.0994022 -0.0995281
1.64 -0.0990142 -0.0991498
1.65 -0.0986299 -0.098775
1.66 -0.0982495 -0.0984038
1.67 -0.0978728 -0.0980361
1.68 -0.0974998 -0.0976717
1.69 -0.0971304 -0.0973106
1.7 -0.0967646 -0.0969526
1.71 -0.0964024 -0.0965978
1.72 -0.0960436 -0.096246
1.73 -0.0956883 -0.0958971
1.74 -0.0953364 -0.0955511
1.75 -0.0949878 -0.095208
1.76 -0.0946425 -0.0948676
1.77 -0.0943006 -0.0945299
1.78 -0.0939619 -0.0941949
1.79 -0.0936264 -0.0938625
1.8 -0.0932941 -0.0935327
1.81 -0.0929649 -0.0932055
1.82 -0.0926389 -0.0928807
1.83 -0.0923159 -0.0925585
1.84 -0.091996 -0.0922387
1.85 -0.0916791 -0.0919213
1.86 -0.0913652 -0.0916063
1.87 -0.0910542 -0.0912937
1.88 -0.0907462 -0.0909835
1.89 -0.0904411 -0.0906757
1.9 -0.0901388 -0.0903703
1.91 -0.0898394 -0.0900671
1.92 -0.0895429 -0.0897664
1.93 -0.0892491 -0.0894679
1.94 -0.088958 -0.0891718
1.95 -0.0886697 -0.0888781
1.96 -0.0883841 -0.0885866
1.97 -0.0881012 -0.0882975
1.98 -0.0878209 -0.0880108
1.99 -0.0875432 -0.0877263
2 -0.087268 -0.0874442
2.01 -0.0869955 -0.0871645
2.02 -0.0867254 -0.0868871
2.03 -0.0864579 -0.086612
2.04 -0.0861927 -0.0863393
2.05 -0.08593 -0.0860689
2.06 -0.0856697 -0.0858008
2.07 -0.0854118 -0.0855352
2.08 -0.0851562 -0.0852718
2.09 -0.0849028 -0.0850108
2.1 -0.0846518 -0.0847521
2.11 -0.0844029 -0.0844958
2.12 -0.0841563 -0.0842417
2.13 -0.0839118 -0.08399
2.14 -0.0836694 -0.0837407
2.15 -0.0834292 -0.0834936
2.16 -0.083191 -0.0832488
2.17 -0.0829548 -0.0830062
2.18 -0.0827206 -0.082766
2.19 -0.0824884 -0.082528
2.2 -0.0822581 -0.0822922
2.21 -0.0820297 -0.0820587
2.22 -0.0818032 -0.0818273
2.23 -0.0815785 -0.0815981
2.24 -0.0813556 -0.0813711
2.25 -0.0811345 -0.0811462
2.26 -0.0809152 -0.0809234
